epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,716.345,0.97188,0.68575,0.98072,0.59251,0.4868,0.5146,0.35629,1.0418,0.7895,1.00938,0.00033032,0.00033032,0.00033032
43,733.347,0.96946,0.68122,0.9795,0.44234,0.51709,0.51228,0.35812,1.03269,0.77337,1.00701,0.000324815,0.000324815,0.000324815
44,750.382,0.95949,0.67216,0.97232,0.58232,0.50808,0.53575,0.36333,1.02885,0.76974,1.00651,0.000319311,0.000319311,0.000319311
45,767.23,0.96326,0.67688,0.9765,0.44635,0.58571,0.52119,0.35552,1.04634,0.78884,1.01317,0.000313806,0.000313806,0.000313806
46,784.089,0.9565,0.6681,0.97645,0.51303,0.5372,0.53233,0.36945,1.02273,0.76396,1.00472,0.000308302,0.000308302,0.000308302
47,800.913,0.9487,0.65996,0.97331,0.49156,0.55827,0.55086,0.38339,1.02435,0.76138,1.01225,0.000302798,0.000302798,0.000302798
48,817.789,0.9483,0.65965,0.97011,0.56027,0.51974,0.5207,0.36077,1.03023,0.76657,1.00953,0.000297293,0.000297293,0.000297293
49,834.55,0.94794,0.65948,0.97021,0.50223,0.53831,0.52584,0.37107,1.02324,0.75731,1.0058,0.000291789,0.000291789,0.000291789
50,851.298,0.93879,0.64821,0.96621,0.46883,0.54688,0.5224,0.36709,1.01501,0.76404,1.00816,0.000286284,0.000286284,0.000286284
51,868.253,0.94523,0.64667,0.96671,0.56054,0.51281,0.5292,0.37329,1.02295,0.75937,1.00958,0.00028078,0.00028078,0.00028078
52,885.082,0.94309,0.64587,0.96925,0.57119,0.5185,0.5278,0.36387,1.03033,0.76686,1.01178,0.000275276,0.000275276,0.000275276
53,901.877,0.93559,0.6407,0.96626,0.48551,0.56064,0.54497,0.3769,1.03303,0.76636,1.01227,0.000269771,0.000269771,0.000269771
54,918.662,0.93386,0.63236,0.9638,0.57318,0.52681,0.53193,0.37106,1.0286,0.76879,1.01341,0.000264267,0.000264267,0.000264267
55,935.732,0.92862,0.63462,0.96008,0.45431,0.54695,0.52942,0.37303,1.0349,0.75508,1.01725,0.000258762,0.000258762,0.000258762
56,952.419,0.92867,0.62625,0.96138,0.58508,0.48081,0.51697,0.36481,1.02636,0.75774,1.01853,0.000253258,0.000253258,0.000253258
57,969.255,0.91966,0.62496,0.96007,0.5506,0.51897,0.51486,0.3572,1.02353,0.76487,1.01278,0.000247754,0.000247754,0.000247754
58,986.11,0.92282,0.62284,0.95868,0.57178,0.49413,0.51571,0.36141,1.02162,0.76734,1.00426,0.000242249,0.000242249,0.000242249
59,1002.79,0.92079,0.61911,0.95662,0.47668,0.52211,0.51293,0.35566,1.03651,0.7716,1.01511,0.000236745,0.000236745,0.000236745
60,1019.51,0.91655,0.61646,0.95767,0.6441,0.46689,0.5235,0.36434,1.03183,0.76401,1.01764,0.00023124,0.00023124,0.00023124
61,1036.3,0.91624,0.61362,0.95711,0.55754,0.53434,0.52255,0.36804,1.02522,0.76485,1.01386,0.000225736,0.000225736,0.000225736
62,1053.23,0.90885,0.60614,0.95605,0.52212,0.50816,0.54226,0.36948,1.02317,0.76964,1.01255,0.000220232,0.000220232,0.000220232
63,1069.95,0.90404,0.60092,0.95116,0.57561,0.52507,0.52403,0.36075,1.03288,0.78131,1.01135,0.000214727,0.000214727,0.000214727
64,1086.64,0.90192,0.60348,0.95423,0.49881,0.52866,0.54626,0.37818,1.02267,0.76091,1.01548,0.000209223,0.000209223,0.000209223
65,1103.62,0.90017,0.59696,0.95291,0.48837,0.53026,0.53987,0.36728,1.02815,0.76387,1.01323,0.000203718,0.000203718,0.000203718
66,1120.14,0.90126,0.59374,0.94677,0.59628,0.48663,0.52008,0.36478,1.02779,0.76828,1.01561,0.000198214,0.000198214,0.000198214
67,1136.79,0.89825,0.58876,0.95122,0.51877,0.51849,0.54062,0.37854,1.02419,0.76517,1.01567,0.00019271,0.00019271,0.00019271
