epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1023.16,0.96689,0.70545,0.99985,0.83044,0.79068,0.85456,0.65104,0.98884,0.73473,1.00834,0.00033032,0.00033032,0.00033032
43,1047.62,0.9675,0.70501,1.00343,0.81846,0.8,0.85318,0.64602,0.99439,0.72906,1.00843,0.000324815,0.000324815,0.000324815
44,1072.74,0.96234,0.69986,0.99848,0.83276,0.80318,0.86045,0.65518,0.99134,0.72967,1.00863,0.000319311,0.000319311,0.000319311
45,1097.09,0.96088,0.70015,0.99868,0.83079,0.79754,0.85345,0.64565,0.99788,0.73252,1.00816,0.000313806,0.000313806,0.000313806
46,1120.89,0.96111,0.69059,0.99795,0.83515,0.78842,0.8509,0.64552,0.99316,0.73134,1.00813,0.000308302,0.000308302,0.000308302
47,1144.86,0.95494,0.68919,0.99379,0.81651,0.80465,0.8543,0.65209,0.99548,0.73892,1.00874,0.000302798,0.000302798,0.000302798
48,1168.66,0.95112,0.68334,0.99454,0.82562,0.8023,0.85525,0.64535,1.00786,0.73303,1.01391,0.000297293,0.000297293,0.000297293
49,1192.59,0.95174,0.68095,0.99068,0.83288,0.80288,0.859,0.6546,0.99212,0.72512,1.0106,0.000291789,0.000291789,0.000291789
50,1216.6,0.94158,0.67001,0.99067,0.84684,0.79018,0.8573,0.65384,0.98665,0.72513,1.00674,0.000286284,0.000286284,0.000286284
51,1240.99,0.94368,0.67092,0.98905,0.84658,0.79077,0.85927,0.65542,0.99269,0.72479,1.01124,0.00028078,0.00028078,0.00028078
52,1264.88,0.94475,0.67196,0.98925,0.84188,0.80734,0.86322,0.65846,0.98829,0.71818,1.00832,0.000275276,0.000275276,0.000275276
53,1288.87,0.93334,0.66086,0.98473,0.84488,0.80283,0.85979,0.65608,0.998,0.72612,1.01396,0.000269771,0.000269771,0.000269771
